Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Opis nieruchomości|398 610 zł|Gdańsk, |Łostowice, | • 1 pokój|31,84 m²|||||Pierwotny||2025|17.07.2023|22.04.2024|morizon-B2-B2.32|1 008|45||||||Quercus|||||||||||||||||||||
3 pokoje w centrum Gdanska|799 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|73 m²|4/4|4||Tak|Wtórny||1953|17.01.2024|19.04.2024|morizon-WST-MS-595-5|1 199|43|1||Blok||Miejskie||Bardzo dobry|Osobna|1|Tak|||Własność|PCV||||Dobry|250 cm|||650|||||
Nowe mieszkanie 2 pokoje z ogródkiem|678 900 zł|Gdańsk, |Stogi, | • 2 pokoje|46,50 m²||3||Nie|Pierwotny||2024|01.10.2023|24.03.2024|morizon-23610653|711|43|1|02.12.2024|Blok||Miejskie|||Aneks|1|Tak|Tak|62 m²|Wieczyste użytkowanie||7,90 m²|||Bardzo dobry|270 cm|4,93 m²|||||||
Przestronne mieszkanie 4 pokojowe|799 900 zł|Gdańsk, |Stogi, | • 4 pokoje|65,50 m²|1/3|3||Tak|Pierwotny||2024|01.10.2023|24.03.2024|morizon-23610654|762|41|1|02.12.2024|Blok|Zróżnicowany|Miejskie||Do wykończenia|Otwarta|2|Tak|||Wieczyste użytkowanie||||10 m²|Bardzo dobry|270 cm|4,19 m²|||||||
Jasne i ciepłe mieszkanie 2 pokojowe Gdańsk|589 000 zł|Gdańsk, |Łostowice, | • 2 pokoje|39,35 m²|3/5|5||Tak|Wtórny|Na wyłączność|2023|26.03.2024|11.04.2024|morizon-3055/8402/OMS|101|40|||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|ANEKS KUCHENNY|1||||WŁASNOŚĆ||||||||||||||
Mieszkanie 3 pokojowe z ogródkiem ul. Niepołomicka|749 000 zł|Gdańsk, |Łostowice| • 3 pokoje|54,43 m²||4||Tak|Wtórny|Na wyłączność|2022|26.03.2024|26.03.2024|morizon-3056/8402/OMS|42|40|||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||1||||WŁASNOŚĆ||||||||||||||
Gdańsk Wrzeszcz 72m2 parking możliwość podziału|749 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|72 m²|3/4|4|||Wtórny||1951|14.06.2023|22.04.2024|morizon-984332|870|37|||Kamienica||Co Miejskie||||||||||||||||||||||
Opis nieruchomości|621 056 zł|Gdańsk, |Jasień, | • 3 pokoje|56,74 m²||||Tak|Pierwotny||2024|18.07.2023|22.04.2024|morizon-20-20B/M47|2 325|36||||||Javorova|||||||||||3,41 m²||||||||||
Opis nieruchomości|678 800 zł|Gdańsk, |Jasień, | • 3 pokoje|56,94 m²||||Tak|Pierwotny||2024|28.11.2023|22.04.2024|morizon-22-22B/M5|350|36||||||Javorova|||||||||||57,51 m²||||||||||
ogródek, widok na jezioro, kameralne osiedle Przys|762 100 zł|Gdańsk, |Kiełpinek, | • 3 pokoje|55,60 m²||3||Nie|Wtórny|Na wyłączność|2023|13.04.2024|16.04.2024|morizon-RR02095|116|35||||Pustak|C.o. miejskie|||Półotwarta|1|Nie|Tak||Własność|||||Wysoki standard|||||||||
Promocyjna cena! Apartament inwestycyjny obok SKM|411 233 zł|Gdańsk, |Przymorze, | • 1 pokój|25,88 m²||5||Nie|Wtórny|Na wyłączność|2022|16.03.2024|20.04.2024|morizon-RR02089|740|35|||||C.o. miejskie|||Półotwarta|1|Nie|Nie||Własność|||||Wysoki standard|||||||||
