Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
3 pokoje Gdańsk okolice centrum Okazja|2 900 zł|Gdańsk, |Nowe Ujeścisko, ||55 m²|3/4|4|||||Wtórny|22.03.2024||Na wyłączność|Apartamentowiec||Co Miejskie|18.03.2024|09.04.2024|morizon-DH278762|299|0|Tak|2022|1||||||2|||||||
Posiadamy do wynajęcia ekskluzywny apartament zlok|3 000 zł|Gdańsk, |Przymorze, ||49 m²|3/3|3|Brak||||Wtórny||Własność||||C.o. miejskie|08.04.2024|08.04.2024|morizon-JJ01924|67|0|Tak|2016||1|Wysoki standard||Nie|||||||||
Piękne Gdańsk 37m2 Nowe dostępne od ZARAZ 2 pokoje|3 200 zł|Gdańsk M., |Gdańsk, |Wysoki standard|37 m²|1/5|5|Aneks kuchenny - połączony z salonem||PCV 3 szyby, ciepły montaż|4500|Wtórny||||Apartamentowiec|Beton, cegła||04.03.2024|04.03.2024|morizon-M4G-MW-174|111|0|Tak|2023||1|||Tak||2|270 cm|||||650|
Przytulna kawalerka na 2 piętrze, miejsce post|2 100 zł|Gdańsk, |Ujeścisko, |WYSOKI STANDARD|35,16 m²|2/4|4|ANEKS KUCHENNY||||Wtórny|08.04.2024|WŁASNOŚĆ|Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-305/14016/OMW|31|0||2006||1||||||||||||
Lawendowe Wzgórze 2 pok wynajem miejsce parkingowe|2 100 zł|Gdańsk, |Jasień, ||30 m²|1/5|5|||||Wtórny|01.04.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|29.03.2024|06.04.2024|morizon-DH704475|117|0|Tak|2020||||||||||||||
"Nowe Mieszkanie 2 Pokojowe | Balkon | Parking | Siłownia - Łostowice"|2 200 zł|Gdańsk, |Łostowice|Bardzo dobry|38 m²|3/3|3|Aneks kuchenny||||Wtórny||Własność|||||10.04.2024|09.04.2024|morizon-23162|28|0||2023||1||||||||||||
Do wynajęcia wyposażony Apartament z balkonem. Wyjątkowe miejsce Gdańsk Starówka|3 500 zł|Gdańsk, |Śródmieście, |Dobry|52 m²|2/3|3|Półotwarta|Tak|||Wtórny|06.04.2024|Własność|Na wyłączność|Apartamentowiec|Zróżnicowany|C.o. miejskie|06.04.2024|06.04.2024|morizon-KM08459|44|0|Tak|2012||1|Dobry||Nie|||||||||
-Atrium Oliwa Premium apartament na wynajem-|4 800 zł|Gdańsk M., |Gdańsk, |Wysoki standard|58 m²|1/4|4|||DREWNIANE NOWY TYP|5000|Wtórny||||Apartamentowiec|||11.04.2024|11.04.2024|morizon-BHN-MW-4169-1|13|0|Tak|2023||||||||||||||
"Brabank | lokalizacja i standard"|5 300 zł|Gdańsk, |Śródmieście, ||44,03 m²|3/5|5|||||Wtórny||||Apartamentowiec|||23.01.2024|23.01.2024|morizon-Modern Old Town 4|56|0||2022|||||||1|||||||
4 pokojowy apartament w sercu Gdańska|12 500 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|117,37 m²|5/5|5|Oddzielna i widna|Tak|||Wtórny||||Blok||C.O. miejskie|15.02.2024|15.02.2024|morizon-BHN-MW-3755|138|0||2019||1||5,84 m²|Tak||3||14,50 m²|||||
Piękne 2 pokoje gotowe do wynajmu! Centrum Gdańska, kamienica|2 370 zł|Gdańsk, |Siedlce|Bardzo dobry|46,50 m²|3/3|3|Osobna|Tak|||Wtórny|13.03.2024|Własność|Na wyłączność|Kamienica|Cegła|Miejskie|13.03.2024|04.04.2024|morizon-2024/GD/KK/WYN|388|0|Nie|1960|1|1|Dobry|4 m²|Nie|||280 cm||Tak||||
Kawalerka z ogródkiem na wynajem, Jasień|2 500 zł|Gdańsk, |Jasień, ||34,22 m²||4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|11.04.2024|11.04.2024|morizon-PH579227|12|0||2010||||||||||||||
Piękne dwa pokoje od zaraz|2 500 zł|Gdańsk, |Łostowice, ||42 m²|2/3|3|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|04.04.2024|04.04.2024|morizon-TY264331|91|0||2023||||||||||||||
Zadbane, klimatyczne mieszkanie z 2 sypialniami, miejscem parkingowym i piwnicą|2 800 zł|Gdańsk, |Jasień, |Bardzo dobry|48,15 m²|2/4|4|Aneks|Tak|||Wtórny||Własność|Na wyłączność|Blok||Miejskie|11.04.2024|11.04.2024|morizon-665-3|20|0|Tak|2015||1|Bardzo dobry|||||260 cm||||||
2 Pokoje 40m 2 Gdańsk Od Zaraz|3 150 zł|Gdańsk M., |Gdańsk, |Wysoki standard|40 m²|3/4|4|Aneks kuchenny - połączony z salonem||PCV 3 szyby, ciepły montaż|4000|Wtórny||||Apartamentowiec|Beton, cegła||21.11.2023|21.11.2023|morizon-M4G-MW-154|162|0|Tak|2022||1|||Tak||2|270 cm|||||543|
Idealne mieszkanie na wynajem, Wrzeszcz|3 400 zł|Gdańsk, |Wrzeszcz, ||47 m²|2/3|3|||||Wtórny|09.10.2023||Na wyłączność|Apartamentowiec||Co Miejskie|13.03.2024|18.03.2024|morizon-DH750066|150|0|Tak|2019||||||||||||||
Apartament od września 2024 roku|1 800 zł|Gdańsk, |Stare Miasto, ||25 m²||4|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|10.04.2024|09.04.2024|morizon-NY018305|40|0|Nie|1950||1|Wysoki standard||Nie|||||||||
Komfortowe mieszkanie na ul. Magellana|2 300 zł|Gdańsk, |Morena Piecki-Migowo, ||29 m²|4/5|5|||||Wtórny|04.03.2024||Na wyłączność|Blok Mieszkalny|||06.03.2024|05.03.2024|morizon-286167|56|0|Tak|2023|1||||||1|||||||
Wynajmę 2 pokoje Gdańsk ul. Chmielna|2 500 zł|Gdańsk, |Śródmieście, |Bardzo dobry|28,16 m²|3/4|4|Aneks||||Wtórny||Własność||Apartamentowiec||Miejskie|03.04.2024|03.04.2024|morizon-119|46|0|Tak|2016||1|Bardzo dobry||Nie|||||||||
Gdańsk Kryształowa 2 pokoje dostępne od zaraz|2 500 zł|Gdańsk, |Orunia Górna, ||63 m²|2/2|2|||||Wtórny|01.03.2024||Na wyłączność|Blok Mieszkalny|Cegła|Co Miejskie|01.03.2024|05.04.2024|morizon-DH250277|195|0|Tak|2004|1||||||1|||||||
Mieszkanie do wynajęcia, 2 pokoje , oddzielna kuchnia 46 m, Wrzeszcz Dolny|2 600 zł|Gdańsk, |Wrzeszcz Dolny, ||46 m²||4|Osobna|Tak|||Wtórny|02.04.2024|||Blok|Wielka płyta||04.04.2024|04.04.2024|morizon-gratka-34171659|45|0||1972||||||||||||||
Duży salon z aneksem kuchennym w sercu Wrzeszcza- WOLNE od 01.05-|2 700 zł|Gdańsk, |Wrzeszcz, |Bardzo dobry|37 m²|3/7|7|Aneks|Tak|||Wtórny||Własność|Na wyłączność|Apartamentowiec||Miejskie|09.04.2024|09.04.2024|morizon-651-1|31|0|Nie|2023||1|Bardzo dobry||Nie|||||||||
Wyjątkowy apartament w Centrum Gdańska- 110m2|7 800 zł|Gdańsk M., |Gdańsk, |Wysoki standard|110 m²||||||7800|Wtórny||||Apartamentowiec|||09.04.2024|09.04.2024|morizon-BHN-MW-4165-2|25|0|Tak||||||||||||||1000|
Wyjątkowe mieszkanie na ekskluzywnym osiedlu, dwa miejsca parkingowe|9 000 zł|Gdańsk, |Oliwa, |Wysoki standard|110 m²|2/3|3|Aneks|Tak|||Wtórny|01.08.2024|||Apartamentowiec|||22.03.2024|30.03.2024|morizon-gratka-33906967|138|0||2011|||||Tak|||||||||
Mieszkanie typu studio z balkonem|1 700 zł|Gdańsk, |Kokoszki, |WYSOKI STANDARD|33,70 m²|||ODDZIELNA||||Wtórny||WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. GAZOWE|26.03.2024|08.04.2024|morizon-48794/2089/OMW|250|0|Tak|||1||||||||||||
2 pokojowe 950m od PLAŻY|2 200 zł|Gdańsk, |Przymorze, ||32,03 m²|4/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|28.02.2024|03.04.2024|morizon-TY758607|360|0||1962||||||||||||||
Przytulne dwupokojowe mieszkanie na wynajem|2 300 zł|Gdańsk, |Jasień, |WYSOKI STANDARD|33 m²|4/4|4|Z OKNEM||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|MIESZANY|C.O. Z SIECI MIEJSKIEJ|26.03.2024|03.04.2024|morizon-48852/2089/OMW|117|0|Tak|||1||||||250 cm||||||
Przestronne i eleganckie 2-pok. - Przymorze|3 100 zł|Gdańsk, |Przymorze, |BARDZO WYSOKI STANDARD|52,76 m²|||ANEKS KUCHENNY||||Wtórny|28.03.2024||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|26.02.2024|06.04.2024|morizon-46389/2089/OMW|313|0|Tak|2017||1||||||||||||
Eleganckie mieszkanie na wynajem - Oliwa|3 200 zł|Gdańsk, |Oliwa, ||39 m²|5/7|7|||||Wtórny|22.02.2024||Na wyłączność|Apartamentowiec||Co Miejskie|21.02.2024|26.03.2024|morizon-DH967191|192|0|Tak|2021||||||||||||||
Mieszkanie - Gdańsk Oliwa|3 300 zł|Gdańsk, |Oliwa, ||65,50 m²|8/8|8|Osobna|Nie|||Wtórny||Własność|Na wyłączność||Cegła|Kotłownia lokalna|12.04.2024|12.04.2024|morizon-JJ02549|1|0|Tak|||1|Bardzo dobry||Nie|||||||||
2 pokoje na Garnizonie! Wysoki standard|4 000 zł|Gdańsk, |Wrzeszcz, ||47,54 m²|4/5|5|||||Wtórny||||Apartamentowiec||Co Miejskie|07.03.2024|28.03.2024|morizon-PH177540|154|0|Tak|2014|||||||1|||||||
3pokojowe mieszkanie w Śródmieściu Gdańska|4 450 zł|Gdańsk M., |Gdańsk, ||64 m²|||||||Wtórny|||||||01.03.2024|01.03.2024|morizon-BHN-MW-4091-1|121|0|||||||||2||||||960|
Dwupiętrowe mieszkanie z tarasem- aż 5 pokoi|5 600 zł|Gdańsk, |Wrzeszcz, ||119 m²|3/4|4|||||Wtórny|01.03.2024||Na wyłączność|Blok Mieszkalny||Gazowe|22.02.2024|30.03.2024|morizon-DH271094|287|0|||2||||Tak||4|||||||
Mieszkanie 3 pokojowe Brzeżno, blisko plaży|6 000 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|70 m²|||||||Wtórny|||||||29.02.2024|29.02.2024|morizon-BHN-MW-4086-2|130|0|Tak||||||Tak||||||||900|
"Mieszkanie 2 Pokojowe z Balkonem | Morena | Alfa Park"|2 300 zł|Gdańsk, |Morena|Bardzo dobry|44 m²|4/6|6|Aneks kuchenny||||Wtórny||Własność|||||10.04.2024|09.04.2024|morizon-23161|27|0||2012||1||||||||||||
Kawalerka 33m2 w świetnej lokalizacji, Garnizon|2 300 zł|Gdańsk, |Wrzeszcz, ||33 m²|||||||Wtórny|06.05.2024|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|09.04.2024|10.04.2024|morizon-48965/2089/OMW|35|0|Tak|||1||||||||||||
Od zaraz - dom wielorodzinny - wysoki parter z balkonem - 2 pok. aż 58 m2 - miej|2 500 zł|Gdańsk, |Chełm I Gdańsk Południe|Bardzo dobry|58 m²||1|Aneks kuchenny||||Wtórny||Własność|||||02.04.2024|04.04.2024|morizon-518763|71|0||2000||1||||||||||||
Bardzo ładne 2 niezależne pokoje blisko Centrum Gd|2 600 zł|Gdańsk, |Siedlce, |Bardzo dobry|39 m²|2/4|4|Osobna|Tak|||Wtórny|08.03.2024|Własność|Na wyłączność|Blok|Cegła||08.03.2024|11.03.2024|morizon-Ecn999864|80|0||1960|||Dobry|||||||||||
2 pok. z msc. w hali garażowej City Park Gd. Zaspa|3 000 zł|Gdańsk, |Zaspa, ||50 m²|9/11|11|||||Wtórny|01.05.2024||Na wyłączność||||04.04.2024|04.04.2024|morizon-Ecn600164|38|0|Tak|2015|||||||1|||||||
2 pok. apartament 42,5m2, inwestycja DOKI, Gdańsk|3 700 zł|Gdańsk M., |Gdańsk, ||42,50 m²|3/5|5|Aneks kuchenny - połączony z salonem|Tak|Aluminiowe|5000|Wtórny|||Na wyłączność|Apartamentowiec||Miejskie|07.03.2024|07.03.2024|morizon-YNK-MW-2272|140|0|Tak|2022||1|||||||5,18 m²|||||
Bez prowizji! Mieszkanie 2 pokoje, Gdańsk-Wrzeszcz|3 713 zł|Gdańsk, |Jana Kilińskiego||45,18 m²|2/5|5|ANEKS KUCHENNY||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|03.03.2024|11.04.2024|morizon-65/14488/OMW|152|0||2017||1||||||||||||
Przestronne 4-pok. mieszkanie z balkonem Przymorze|3 800 zł|Gdańsk, |Przymorze, |DOBRY|77 m²|6/10|10|ODDZIELNA||||Wtórny|20.03.2024|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|20.03.2024|20.03.2024|morizon-48779/2089/OMW|166|0|Tak|1975||1||||||||||||
Kawalerka na Siedlcach|2 000 zł|Gdańsk, |Siedlce, ||31 m²|8/10|10|Osobna||||Wtórny||Własność||||C.o. miejskie|08.04.2024|08.04.2024|morizon-WV032539|66|0|Nie|1985||1|Bardzo dobry||Nie|||||||||
Kameralne mieszkanie blisko centrum Gdańska ogódek|2 000 zł|Gdańsk, |Siedlce, |WYSOKI STANDARD|32,80 m²|1/1|1|ODDZIELNA||||Wtórny|02.04.2024|WŁASNOŚĆ|Na wyłączność|DOM|CEGŁA|C.O. GAZOWE|04.04.2024|10.04.2024|morizon-48917/2089/OMW|72|0||||1||||||||||||
Nowoczesne 2 pokojowe z balkonem i parkingiem|2 200 zł|Gdańsk, |Orunia Górna, |BARDZO WYSOKI STANDARD|35,54 m²|2/3|3|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|11.03.2024|26.03.2024|morizon-48744/2089/OMW|216|0|Tak|2023||1||||||||||||
2 pokoje blisko morza, po remoncie|2 300 zł|Gdańsk, |Brzeźno, ||35 m²|4/4|4|||||Wtórny|01.05.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|02.04.2024|10.04.2024|morizon-AG165102|125|0||1980|||||||1|||||||
2 pokojowe mieszkanie Gdańsk Osowa|2 300 zł|Gdańsk, |Osowa, |WYSOKI STANDARD|46 m²|2/4|4|OTWARTA||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|07.03.2024|08.04.2024|morizon-48746/2089/OMW|254|0|Tak|2021||||||||||||||
"Nowe Mieszkanie 2 Pokojowe | Balkon | Parking | Łostowice"|2 500 zł|Gdańsk, |Łostowice|Bardzo dobry|44 m²|2/4|4|Aneks kuchenny||||Wtórny||Własność|||||10.04.2024|09.04.2024|morizon-23160|23|0||2023||1||||||||||||
Studio 23 m2, Gdańsk Przymorze|2 790 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|23,43 m²||7|Aneks kuchenny||DREWNIANE NOWY TYP||Wtórny||||Apartamentowiec|||19.03.2024|19.03.2024|morizon-BHN-MW-4141-1|136|0|Tak|2021||1|||||1|270 cm||||||
3 pokoje Gdańsk Przymorze 72m2 od 1 lipca|4 400 zł|Gdańsk M., |Gdańsk, |Wysoki standard|72 m²|16/17|17|Aneks kuchenny - połączony z jadalnią||PCV 3 szyby, ciepły montaż|7000|Wtórny||||Apartamentowiec|||28.02.2024|22.03.2024|morizon-M4G-MW-173|184|0|Tak|2018||1|||Tak||3|270 cm|||||800|
Kawalerka na Ujeścisku|1 990 zł|Gdańsk, |Ujeścisko, ||34,81 m²||2|||||Wtórny|19.03.2024||Na wyłączność|Apartamentowiec||Co Miejskie|18.03.2024|10.04.2024|morizon-DH968111|211|0|Nie|2015||||||||||||||
"Mieszkanie 2 Pokojowe | Balkon | Parking | Osiedle - Zielony Południk"|2 200 zł|Gdańsk, |Łostowice|Bardzo dobry|40 m²|1/3|3|Aneks kuchenny||||Wtórny||Własność|||||10.04.2024|09.04.2024|morizon-23164|21|0||2021||1||||||||||||
Wynajmę 2 pokoje Gdańsk ul. Kamienna Grobla|2 200 zł|Gdańsk, |Śródmieście, |Bardzo dobry|39,80 m²|3/8|8|Osobna||||Wtórny||Własność||Blok||Miejskie|03.04.2024|03.04.2024|morizon-118|69|0|Tak|1960||1|Dobry||Nie|||||||||
PIĘKNE DWUPOKOJOWE MIESZKANIE Z BALKONEM|2 300 zł|Gdańsk, |Orunia Górna, |WYSOKI STANDARD|47 m²|2/4|4|OTWARTA||||Wtórny|24.03.2024|WŁASNOŚĆ|Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|26.03.2024|28.03.2024|morizon-48871/2089/OMW|116|0|Tak|2004||1||||||||||||
2 pokoje, hala, komórka, długoterminowo|2 300 zł|Gdańsk, |Jasień, ||41 m²|2/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|19.02.2024|10.04.2024|morizon-WH370269|335|0|Tak|2020|1||||||1|||||||
2 pokoje Centrum Aniołki Foscha Ciche odświeżone|2 385 zł|Gdańsk, |Aniołki, ||53 m²|2/2|2|Aneks|Tak|||Wtórny|15.03.2024|||Blok|Cegła||15.03.2024|15.03.2024|morizon-gratka-33778269|244|0|Tak|2000||||||||||||||
Opis nieruchomości|2 400 zł|Gdańsk, |Siedlce, |Bardzo dobry|40 m²|4/4|4|Osobna|Tak|||Wtórny||Własność||Blok||Miejskie|07.04.2024|07.04.2024|morizon-120|25|0|Nie||1|1|Dobry||Nie|||||||||
Komfortowa kawalerka 5 minut od Dworca PKP|2 500 zł|Gdańsk, |Śródmieście, ||30,96 m²|5/5|5|||||Wtórny||||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|20.03.2024|06.04.2024|morizon-TC409346|344|0||2019|1||||||1|||||||
Mieszkanie trzy pokoje w spokojnej okolicy|2 900 zł|Gdańsk, |Wrzeszcz||65 m²||2|||||Wtórny|||Na wyłączność|Dom Wielorodzinny|Cegła|Co Miejskie|14.03.2024|22.03.2024|morizon-DH470269|334|0|Nie|1935|||||||2|||||||
Wynajmę Nowe 2-pokojowe Nowe 35 m2 WE speak eng|3 450 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|35 m²|1/7|7|Aneks kuchenny||DREWNIANE NOWY TYP||Wtórny||||Apartamentowiec|||19.03.2024|19.03.2024|morizon-BHN-MW-4142|133|0|Tak|2021||1||||||270 cm|||||550|
Wynajmę Nowe 3-pokojowe 50,59 m2 WE speak eng|4 480 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|50,59 m²|5/7|7|Aneks kuchenny||DREWNIANE NOWY TYP||Wtórny||||Apartamentowiec|||19.03.2024|19.03.2024|morizon-BHN-MW-4143|118|0|Tak|2021||1||||||270 cm|||||550|
3 pokojowy Apartament Neptun Park/ Jelitkowo|5 700 zł|Gdańsk M., |Gdańsk, |Wysoki standard|80 m²||3|||||Wtórny||||Apartamentowiec|||03.04.2024|03.04.2024|morizon-BHN-MW-4157|84|0|Tak||||||Tak||||||||1600|
Do wynajęcia 2 pokojowa kawalerka z balkonem|2 100 zł|Gdańsk, |Zaspa, ||27 m²|10/10|10|||||Wtórny|15.04.2024||Na wyłączność||||12.04.2024|12.04.2024|morizon-Aa116966|1|0|Tak|||||||||||||||
Przestronne mieszkanie na wynajeml|2 300 zł|Gdańsk, |Przymorze, ||46 m²|1/10|10|||||Wtórny|||Na wyłączność|Falowiec||Co Miejskie|26.03.2024|26.03.2024|morizon-788616|173|0|Tak|||||||||||||||
Zamieszkaj jako pierwszy! 2 pokoje, nowe osiedle|2 300 zł|Gdańsk, |Łostowice, ||44,05 m²|2/3|3|||||Wtórny|26.02.2024|||Blok Mieszkalny||Co Miejskie|25.02.2024|12.04.2024|morizon-DH750703|278|0|Tak|2022|||||||1|||||||
Opis nieruchomości|2 600 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|41 m²|3/3|3|Aneks kuchenny - połączony z salonem|Tak|PCV|3000|Wtórny||Jeden właściciel|Na wyłączność|Blok|||02.04.2024|02.04.2024|morizon-WST-MW-606-2|51|0|Tak||||||||1|255 cm|||||500|
2 pokoje na Starym Mieście|2 800 zł|Gdańsk, |Stare Miasto, ||57 m²|2/6|6|||||Wtórny|30.04.2024||||||26.03.2024|27.03.2024|morizon-636689|137|0||1952|||||||1|||||||
Nowe dwupokojowe mieszkanie - Lawendowe Wzgórze|2 800 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|42 m²|||Aneks kuchenny - połączony z salonem|Tak|PCV|4000|Wtórny||||Budynek wielorodzinny|||11.03.2024|11.03.2024|morizon-BHN-MW-4128|109|0|Tak||||||||1|||||||
Gdańsk, Śródmieście ,Starówka, Piecki Migowo|3 000 zł|Gdańsk, |Piecki Migowo, ||41 m²|4/7|7|Osobna|Nie|||Wtórny||Własność||||C.o. miejskie|06.04.2024|05.04.2024|morizon-KM08460|42|0|Tak|2015||1|Dobry||Nie|||||||||
Komfortowe 2 pokoje z ogrodem|3 100 zł|Gdańsk, |Aniołki, ||48 m²||7|||||Wtórny|||Na wyłączność||||10.04.2024|12.04.2024|morizon-HEX791700|21|0||2022|||||||1|||||||
Gdańsk Oliwa 3 pokoje wynajem|3 300 zł|Gdańsk, |Oliwa, ||59,28 m²|2/2|2|||||Wtórny|15.03.2024||Na wyłączność|Dom Wielorodzinny||Co Własne|13.02.2024|12.04.2024|morizon-DH216818|329|0|Tak||||||||2|||||||
Przestronne Mieszkanie z Balkonem Przymorze|4 200 zł|Gdańsk, |Przymorze, ||60 m²|14/15|15|||||Wtórny|||Na wyłączność||||29.03.2024|03.04.2024|morizon-715927720|102|0||||||||||||||||
Przestronna kawalerka do szybkiego wynajmu|2 300 zł|Gdańsk, |Szadółki, ||36,61 m²|3/4|4|Półotwarta||||Wtórny|01.05.2024|Własność|Na wyłączność|||C.o. miejskie|12.04.2024|12.04.2024|morizon-MA05098|1|0|Tak|2023||1|Bardzo dobry||Nie||||11 m²|||||
Opis nieruchomości|2 500 zł|Gdańsk, |Aniołki, |WYSOKI STANDARD|43,30 m²|||ODDZIELNA||||Wtórny||||||C.O. Z SIECI MIEJSKIEJ|04.04.2024|09.04.2024|morizon-BON45321|60|0|Tak|2000||||||||||||||
Słoneczna Morena 2 pokoje + miejsce w hali|2 500 zł|Gdańsk, |Morena, |WYSOKI STANDARD|42,09 m²|6/7|7|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|||C.O. Z SIECI MIEJSKIEJ|22.02.2024|08.04.2024|morizon-44/4070/OMW|226|0|Tak|2016||||||||||||||
Kawalerka Gdańsk Oliwa|2 600 zł|Gdańsk, |Oliwa, ||31,62 m²|1/2|2|||||Wtórny|15.03.2024||Na wyłączność|Dom Wielorodzinny||Co Własne|13.02.2024|12.04.2024|morizon-DH488062|230|0||||||||||||||||
Wynajmę mieszkanie 50 m2, Gdańsķ wrzeszcz ul. Sobótki|2 700 zł|Gdańsk, |Wrzeszcz, ||50 m²|1/3|3||Tak|||Wtórny||||Kamienica|||28.03.2024|28.03.2024|morizon-gratka-34042751|154|0|Tak|||||||||||||||
Dwupokojowe mieszkanie z niepowtarzalnym widokiem|2 700 zł|Gdańsk, |Morena, |WYSOKI STANDARD|49,90 m²|||ODDZIELNA||||Wtórny||WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|07.03.2024|26.03.2024|morizon-48764/2089/OMW|282|0|Tak|2018||1||||||||||||
Eleganckie Mieszkanie w Śródmieściu Gdańska|3 000 zł|Gdańsk, |Śródmieście, ||41 m²|5/8|8|||||Wtórny|||Na wyłączność||||29.03.2024|03.04.2024|morizon-487371063|136|0||||||||||||||||
Opis nieruchomości|3 200 zł|Gdańsk, |Wrzeszcz, ||50 m²|15/17|17|||||Wtórny||||Blok Mieszkalny||Co Miejskie|03.04.2024|11.04.2024|morizon-PH909632|62|0||2011||||||||||||||
2 pokoje + taras + 1 miejsce parkingowe|4 000 zł|Gdańsk, |Śródmieście, ||65 m²|4/5|5|Brak||||Wtórny||(Nieznany)||||C.o. miejskie|23.03.2024|27.03.2024|morizon-ML01131|142|0|Nie|2012|||||Tak|||||||||
Nowe 3-pok. mieszkanie, dwa miejsca parkingowe|4 600 zł|Gdańsk, |Letnica, |BARDZO WYSOKI STANDARD|73,97 m²|3/7|7|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|BLOCZKI|C.O. Z SIECI MIEJSKIEJ|06.02.2024|09.04.2024|morizon-48495/2089/OMW|200|0|Tak|2022||2||||||280 cm||||||
Wyjątkowy Apartament na Głównym Mieście w Gdańsku|4 900 zł|Gdańsk, |Śródmieście, ||61 m²|3/3|3|||||Wtórny|20.02.2024|||Historyczny/zabytkowy||Co Miejskie|28.02.2024|11.04.2024|morizon-ON641374|126|0|Nie|1947||||||||||||||
Nowe 2 pokojowe mieszkanie z balkonem i parkingiem|2 200 zł|Gdańsk, |Orunia Górna, |BARDZO WYSOKI STANDARD|36,35 m²|3/3|3|ANEKS KUCHENNY||||Wtórny|||Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|11.03.2024|13.03.2024|morizon-48745/2089/OMW|171|0|Tak|2023||1||||||||||||
Mieszkanie 2 pokojowe - ul. Focha|2 500 zł|Gdańsk, |Aniołki, ||43,30 m²|1/3|3|||||Wtórny||||Blok Mieszkalny|Pustak|Co Miejskie|27.03.2024|09.04.2024|morizon-PAN355139|147|0|Tak|2000||||||||||||||
mieszkanie 2 pokojowe z prywatnym miejscem parkingowym|2 750 zł|Gdańsk, |Ujeścisko, |Dobry|48 m²|1/3|3|Osobna|Tak|||Wtórny|21.03.2024|||Blok|Silikat||20.03.2024|20.03.2024|morizon-gratka-33864249|198|0|Tak|2008||||||||||||||
Super standard - od zaraz - Miejsce w hali|2 800 zł|Gdańsk, |Łostowice, ||41 m²||4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|||03.04.2024|11.04.2024|morizon-285984|78|0||2023||||||||||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 855 zł|Gdańsk, |Mariana Kołodzieja||49,18 m²|3/3|3|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ|12.02.2024|08.04.2024|morizon-59/14488/OMW|186|0|Tak|2017||1||||||270 cm||||||
Gdańsk SZAFARNIA 2 pikoje z widokiem na Motławę|4 000 zł|Gdańsk, |Śródmieście, ||59 m²|2/4|4|Półotwarta||||Wtórny||(Nieznany)||||C.o. miejskie|23.03.2024|27.03.2024|morizon-ML01130|137|0|Nie|2011|||||Nie|||||||||
