Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Opis nieruchomości|609 900 zł|Gdynia, |Pogórze, |Nowe Pogórze|64,20 m²|Pierwotny|2022|17.05.2022|14.09.2023|morizon-B_21|3 690|25|2/2|2|||||||||||||||||||||||||||||
Osiedle Beauforta - apartament na sprzedaż|950 000 zł|Gdynia, |Pogórze, ||76 m²|Wtórny|2022|15.02.2024|12.04.2024|morizon-AS150261|442|25|3/3|3|1|2|Tak||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Dwa pokoje z balkonem -centrum Gdyni- aktualne|528 000 zł|Gdynia, |Działki Leśne, ||44,60 m²|Wtórny|1960|19.09.2023|08.04.2024|morizon-NA365122|1 454|25|3/4|4||||||Blok Mieszkalny|Cegła|Co Miejskie||||||||||||19.09.2023|||||||||
Mieszkanie - Gdynia Wiczlino|1 085 800 zł|Gdynia, |Wiczlino, ||122 m²|Pierwotny|2015|13.02.2024|09.04.2024|morizon-WJ03266|234|25|1/2|2|||Tak|Nie||||Gazowe||||Półotwarta|1|Nie||Własność|Deweloperski||6 m²||||||||||
Twój drugi dom wakacyjny 2 pokoje Widok na Zatokę|1 111 111 zł|Gdynia, |Redłowo, ||58,50 m²|Wtórny|2021|13.05.2023|11.04.2024|morizon-TC402010|778|25|4/8|8||1|Tak||Na wyłączność|Apartamentowiec|Silikat|Co Miejskie||||||||||||04.05.2023|||||||||
Nowy apartament Gdynia Orlowo|1 730 000 zł|Gdynia, |Orłowo, ||69,50 m²|Pierwotny|2024|13.04.2023|05.04.2024|morizon-EC665246886|718|25|2/2|2|1|2|Tak||Na wyłączność|Apartamentowiec||Gazowe|||||||||||||||||||||
Nowy apartament Gdynia Orlowo|1 730 000 zł|Gdynia, |Orłowo, ||69,50 m²|Pierwotny|2024|13.04.2023|26.03.2024|morizon-EC203080771|778|25|1/2|2|1|2|Tak||Na wyłączność|Apartamentowiec||Gazowe|||||||||||||||||||||
Nowy apartament Gdynia Orlowo|2 645 000 zł|Gdynia, |Orłowo, ||106,20 m²|Pierwotny|2024|13.04.2023|26.03.2024|morizon-EC846805324|833|25|2/2|2|1|3|Tak||Na wyłączność|Apartamentowiec||Gazowe|||||||||||||||||||||
Nowy apartament Gdynia Orlowo|4 380 000 zł|Gdynia, |Orłowo, ||176 m²|Pierwotny|2024|09.11.2023|26.03.2024|morizon-EC187714041|377|25|2/2|2|1|4|Tak|Tak|Na wyłączność|Apartamentowiec||Gazowe|||||||||||||||||||||
"Spokojne centrum Gdyni | 15 min spacerem do plaży"|769 000 zł|Gdynia, |Śródmieście, ||76 m²|Wtórny|1932|10.10.2023|03.04.2024|morizon-TC239911|1 064|25|3/3|3||2|||Na wyłączność|Historyczny/zabytkowy|Cegła|Co Miejskie||||||||||||10.10.2023|||||||||
