Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
759000.0,Gdynia ,Śródmieście, 3,47.15,Wtórny,1970,8.0,8.0,Nie,Najmu,16097.56
795000.0,Gdynia ,Mały Kack, 2,52.0,Wtórny,2011,1.0,3.0,Tak,Najmu,15288.46
800000.0,Gdynia ,Chylonia, 3,58.33,Wtórny,2021,1,3.0,Nie,Najmu,13715.07
830000.0,Gdynia ,Chwarzno-Wiczlino, 3,68.06,Wtórny,.,2.0,3.0,Tak,Najmu,12195.12
849000.0,Gdynia ,Chwarzno-Wiczlino, 3,70.14,Wtórny,2020,3.0,4.0,Nie,Najmu,12104.36
880000.0,Gdynia ,Mały Kack, 3,53.0,Wtórny,2023,2.0,3.0,Tak,Najmu,16603.77
899000.0,Gdynia ,Mały Kack, 3,64.0,Wtórny,2010,1.0,2.0,Tak,Najmu,14046.88
950000.0,Gdynia ,Śródmieście, 4,75.28,Wtórny,1956,4.0,4.0,Nie,Najmu,12619.55
975000.0,Gdynia ,Chwarzno-Wiczlino, 4,72.18,Wtórny,.,1.0,4.0,Tak,Najmu,13507.9
980000.0,Gdynia ,Śródmieście, 3,60.5,Wtórny,1965,8.0,8.0,Tak,Najmu,16198.35
1100000.0,Gdynia ,Orłowo, 2,40.86,Wtórny,2023,1.0,2.0,Tak,Najmu,26921.19
1170000.0,Gdynia ,Cisowa, 4,79.78,Wtórny,2019,1,5.0,Tak,Najmu,14665.33
1199000.0,Gdynia ,Redłowo, 2,52.13,Wtórny,.,1,3.0,Nie,Najmu,23000.19
1275000.0,Gdynia ,Orłowo, 2,47.23,Wtórny,2023,1,2.0,Tak,Najmu,26995.55
1399000.0,Gdynia ,Dąbrowa, 3,98.0,Wtórny,2019,1.0,2.0,Nie,Najmu,14275.51
1525000.0,Gdynia ,Redłowo, 2,74.0,Wtórny,2013,1.0,16.0,Nie,Najmu,20608.11
1530000.0,Gdynia ,Chwarzno-Wiczlino, 4,93.12,Wtórny,.,1.0,3.0,Tak,Najmu,16430.41
1630000.0,Gdynia ,Orłowo, 3,60.27,Wtórny,2023,1,2.0,Tak,Najmu,27044.96
1790000.0,Gdynia ,Wielki Kack, 5,150.0,Wtórny,.,1,3.0,Tak,Najmu,11933.33
