Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Kawalerka z ogródkiem na wynajem, Jasień|2 500 zł|Gdańsk, |Jasień, | • 1 pokój||34,22 m²|||4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|11.04.2024|11.04.2024|morizon-PH579227|103|0|||||2010||Co Miejskie||||||||
Mieszkanie blisko Galerii Bałtyckiej w GD Wrzeszcz|2 800 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||38,80 m²||1/4|4|1|||||||Wtórny|||Apartamentowiec|06.04.2024|17.04.2024|morizon-TC314388|170|0|||||2011||Co Miejskie||Konstrukcja mieszana|1|||||
Morena/3 pokoje/kuchnia/balkon/komunikacja|3 000 zł|Gdańsk, |Morena, | • 3 pokoje||63 m²||4/4|4||||||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|||20.04.2024|20.04.2024|morizon-7584/1621/OMW|45|0|||||1983||||||||||
2 Pokoje 40m 2 Gdańsk Od Zaraz|3 150 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Wysoki standard|40 m²|270 cm|3/4|4|2|Aneks kuchenny - połączony z salonem||Tak|PCV 3 szyby, ciepły montaż|4000|543|Wtórny|||Apartamentowiec|21.11.2023|21.11.2023|morizon-M4G-MW-154|169|0|1||Tak||2022||||Beton, cegła||||||
Piękne mieszkanie 200 metrów od morza|3 200 zł|Gdańsk, |Jelitkowo, | • 2 pokoje||40 m²||3/3|3||Brak||Nie||||Wtórny|(Nieznany)|||19.04.2024|20.04.2024|morizon-ML01141|42|0|||Tak||2013||C.o. miejskie||||||||
W pełni wyposażone, CentrumGdańsk, 1pok, GARAŻ|4 100 zł|Gdańsk, |Śródmieście, | • 2 pokoje||65 m²||3/5|5|1|||Tak||||Wtórny|||Apartamentowiec|21.04.2024|21.04.2024|morizon-DH330690|1|0|||||2011||Co Miejskie|01.05.2024|||||||
Przymorze/Kołobrzeska. Superlokalizacja|2 150 zł|Gdańsk, |Kołobrzeska| • 1 pokój||27 m²||4/4|4||Osobna||Tak||||Wtórny|Spółdzielcze własnościowe|Na wyłączność||22.04.2024|22.04.2024|morizon-HA015392|1|0|1|1,50 m²|Nie||1976|Bardzo dobry|C.o. miejskie||||||||
2 pokojowe mieszkanie na Jasieniu|2 400 zł|Gdańsk, |Jasień, | • 2 pokoje||46 m²||2/4|4||Osobna||Tak||||Wtórny|Własność|||15.04.2024|19.04.2024|morizon-WV032543|83|0|1|10 m²|Nie||1995|Bardzo dobry|C.o. miejskie||||||||
Wynajmę 2 pokoje Gdańsk ul. Chmielna|2 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje|Bardzo dobry|28,16 m²||3/4|4||Aneks||Tak||||Wtórny|Własność||Apartamentowiec|03.04.2024|03.04.2024|morizon-119|69|0|1||Nie||2016|Bardzo dobry|Miejskie||||||||
Gdańsk Kryształowa 2 pokoje dostępne od zaraz|2 500 zł|Gdańsk, |Orunia Górna, | • 2 pokoje||63 m²||2/2|2|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.03.2024|05.04.2024|morizon-DH250277|255|0|||||2004||Co Miejskie|01.03.2024|Cegła|1|||||
3 pokoje Gdańsk okolice centrum Okazja|2 900 zł|Gdańsk, |Nowe Ujeścisko, | • 3 pokoje||55 m²||3/4|4|2|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|18.03.2024|22.04.2024|morizon-DH278762|382|0|||||2022||Co Miejskie|22.03.2024||1|||||
Obok garnizonu, 4 pokoje, przyjazne zwierzętom|3 500 zł|Gdański, |Gdańsk, | • 4 pokoje||70 m²||2/2|2||Osobna||Nie||||Wtórny|Własność|Na wyłączność||13.04.2024|12.04.2024|morizon-KJ04301|125|0|1||Nie|||Do zamieszkania|C.o. miejskie||Cegła||||||
Do wynajęcia 3 pokoje Wałowa Gdańsk Śródmieście|4 800 zł|Gdańsk, |Śródmieście, | • 3 pokoje||67,40 m²||3/5|5||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|03.04.2024|18.04.2024|morizon-PAN129134|129|0|||||2021||Co Miejskie|01.05.2024|YTong||||||
100m2 z przepięknym widokiem na Zatokę Gdańską|8 000 zł|Gdańsk, |Przymorze, | • 4 pokoje||100 m²||17/17|17||||||||Wtórny|||Apartamentowiec|14.04.2024|14.04.2024|morizon-565635|71|0|||||2019||Co Miejskie||||||||
Nowoczesne 2 pokojowe z balkonem i parkingiem|2 200 zł|Gdańsk, |Orunia Górna, | • 2 pokoje|BARDZO WYSOKI STANDARD|35,54 m²||2/3|3||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|11.03.2024|15.04.2024|morizon-48744/2089/OMW|287|0|1||||2023||C.O. Z SIECI MIEJSKIEJ||||||||
Przytulne dwupokojowe mieszkanie na wynajem|2 300 zł|Gdańsk, |Jasień, | • 2 pokoje|WYSOKI STANDARD|33 m²|250 cm|4/4|4||Z OKNEM||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|26.03.2024|03.04.2024|morizon-48852/2089/OMW|172|0|1||||||C.O. Z SIECI MIEJSKIEJ||MIESZANY||||||
Idealne mieszkanie na wynajem, Wrzeszcz|3 400 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||47 m²||2/3|3||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|13.03.2024|15.04.2024|morizon-DH750066|197|0|||||2019||Co Miejskie|09.10.2023|||||||
Bądź pierwszym najemcą! Komfortowe m3 na Zaspie|3 500 zł|Gdański, |Gdańsk, | • 2 pokoje||44,70 m²||7/10|10||Osobna||Nie||||Wtórny|Własność|Na wyłączność||16.04.2024|16.04.2024|morizon-KJ04297|62|0|1||Nie||1974|Bardzo dobry|C.o. miejskie||||||||
2 POKOJE GDAŃSK ŚRÓDMIEŚCIE, KOMFORTOWE, NOWE|4 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||44,53 m²||5/5|5|1|||Tak||||Wtórny|||Apartamentowiec|22.04.2024|22.04.2024|morizon-262258|1|0|||||||Co Miejskie|14.07.2023|||||||
Piękny apartament kilka metrów od morza|11 500 zł|Gdańsk, |Przymorze, | • 4 pokoje||90 m²||8/10|10||||||||Wtórny|||Apartamentowiec|29.03.2024|13.04.2024|morizon-825518|152|0|||||2023||Co Miejskie||||||||
Kawalerka 33m2 w świetnej lokalizacji, Garnizon|2 300 zł|Gdańsk, |Wrzeszcz, | • 1 pokój||33 m²|||||||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|09.04.2024|10.04.2024|morizon-48965/2089/OMW|145|0|1||||||C.O. Z SIECI MIEJSKIEJ|06.05.2024|||||||
Od zaraz - dom wielorodzinny - wysoki parter z balkonem - 2 pok. aż 58 m2 - miej|2 500 zł|Gdańsk, |Chełm I Gdańsk Południe| • 2 pokoje|Bardzo dobry|58 m²|||1||Aneks kuchenny||||||Wtórny|Własność|||02.04.2024|04.04.2024|morizon-518763|135|0|1||||2000||||||||||
2-pokojowe atrakcyjne mieszkanie z balkonem|2 700 zł|Gdańsk, |Chełm, | • 2 pokoje|BARDZO WYSOKI STANDARD|47,50 m²|||||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|26.03.2024|22.04.2024|morizon-48887/2089/OMW|173|0|1||||||C.O. Z SIECI MIEJSKIEJ||WIELKA PŁYTA||||||
Dwupokojowe mieszkanie z niepowtarzalnym widokiem|2 700 zł|Gdańsk, |Morena, | • 2 pokoje|WYSOKI STANDARD|49,90 m²|||||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|07.03.2024|15.04.2024|morizon-48764/2089/OMW|353|0|1||||2018||C.O. Z SIECI MIEJSKIEJ||||||||
Z ogródkiem w pobliżu Olivia Busness Center|3 200 zł|Gdańsk, |Oliwa, | • 2 pokoje||47,15 m²|||3|1|||||||Wtórny||Na wyłączność||16.04.2024|16.04.2024|morizon-882238|70|0|||||2018|||01.05.2024|||||||
Mieszkanie - Gdańsk Oliwa|3 300 zł|Gdańsk, |Oliwa, | • 3 pokoje||65,50 m²||8/8|8||Osobna|Nie|Tak||||Wtórny|Własność|Na wyłączność||12.04.2024|16.04.2024|morizon-JJ02549|197|0|1||Nie|||Bardzo dobry|Kotłownia lokalna||Cegła||||||
3 pokojowe mieszkanie z oddzielną kuchnią|3 700 zł|Gdańsk, |Ujeścisko, | • 3 pokoje||78 m²||1/3|3||||Tak||||Wtórny|||Blok Mieszkalny|15.04.2024|15.04.2024|morizon-DH261451|64|0|||||2005||Co Miejskie||||||||
Kameralne mieszkanie blisko centrum Gdańska ogódek|2 000 zł|Gdańsk, |Siedlce, | • 1 pokój|WYSOKI STANDARD|32,80 m²||1/1|1||ODDZIELNA||||||Wtórny|WŁASNOŚĆ|Na wyłączność|DOM|04.04.2024|10.04.2024|morizon-48917/2089/OMW|176|0|1||||||C.O. GAZOWE|02.04.2024|CEGŁA||||||
2 pokojowe mieszkanie Gdańsk Osowa|2 300 zł|Gdańsk, |Osowa, | • 2 pokoje|WYSOKI STANDARD|46 m²||2/4|4||OTWARTA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|07.03.2024|08.04.2024|morizon-48746/2089/OMW|325|0|||||2021||C.O. Z SIECI MIEJSKIEJ||||||||
"Nowe Mieszkanie 2 Pokojowe | Balkon | Parking | Łostowice"|2 500 zł|Gdańsk, |Łostowice| • 2 pokoje|Bardzo dobry|44 m²||2/4|4||Aneks kuchenny||||||Wtórny|Własność|||10.04.2024|09.04.2024|morizon-23160|131|0|1||||2023||||||||||
Rezerwacja - Apartament 50m2 - długoterminowo|3 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||50 m²||4/6|6||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|10.04.2024|20.04.2024|morizon-NIK687226|167|0|||||2020||Co Miejskie||||||||
3 pokoje Gdańsk Przymorze 72m2 od 1 lipca|4 400 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Wysoki standard|72 m²|270 cm|16/17|17|3|Aneks kuchenny - połączony z jadalnią||Tak|PCV 3 szyby, ciepły montaż|7000|800|Wtórny|||Apartamentowiec|28.02.2024|22.03.2024|morizon-M4G-MW-173|212|0|1||Tak||2018||||||||||
-Atrium Oliwa Premium apartament na wynajem-|4 800 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Wysoki standard|58 m²||1/4|4||||Tak|DREWNIANE NOWY TYP|5000||Wtórny|||Apartamentowiec|11.04.2024|11.04.2024|morizon-BHN-MW-4169-1|135|0|||||2023||||||||||
"Mieszkanie 2 Pokojowe | Balkon | Parking | Osiedle - Zielony Południk"|2 200 zł|Gdańsk, |Łostowice| • 2 pokoje|Bardzo dobry|40 m²||1/3|3||Aneks kuchenny||||||Wtórny|Własność|||10.04.2024|09.04.2024|morizon-23164|133|0|1||||2021||||||||||
Wynajmę 2 pokoje Gdańsk ul. Kamienna Grobla|2 200 zł|Gdańsk, |Śródmieście, | • 2 pokoje|Bardzo dobry|39,80 m²||3/8|8||Osobna||Tak||||Wtórny|Własność||Blok|03.04.2024|03.04.2024|morizon-118|124|0|1||Nie||1960|Dobry|Miejskie||||||||
PIĘKNE DWUPOKOJOWE MIESZKANIE Z BALKONEM|2 300 zł|Gdańsk, |Orunia Górna, | • 2 pokoje|WYSOKI STANDARD|47 m²||2/4|4||OTWARTA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|26.03.2024|28.03.2024|morizon-48871/2089/OMW|159|0|1||||2004||C.O. Z SIECI MIEJSKIEJ|24.03.2024|||||||
2 pokoje, widok na wodę! Cicha okolica|2 350 zł|Gdańsk, |Maćkowy, | • 2 pokoje||42 m²||1/3|3||||Tak||||Wtórny|||Blok Mieszkalny|18.04.2024|18.04.2024|morizon-PH987513|36|0|||||2023||Co Miejskie||||||||
Opis nieruchomości|2 400 zł|Gdańsk, |Siedlce, | • 2 pokoje|Bardzo dobry|40 m²||4/4|4||Osobna|Tak|Nie||||Wtórny|Własność||Blok|07.04.2024|07.04.2024|morizon-120|48|0|1||Nie|||Dobry|Miejskie|||1|||||
Mieszkanie trzy pokoje w spokojnej okolicy|2 900 zł|Gdańsk, |Wrzeszcz| • 3 pokoje||65 m²|||2|2|||Nie||||Wtórny||Na wyłączność|Dom Wielorodzinny|14.03.2024|22.03.2024|morizon-DH470269|391|0|||||1935||Co Miejskie||Cegła||||||
Duże 2-pokojowe od zaraz/miejsce postojowe|3 000 zł|Gdańsk, |Morena, | • 2 pokoje||51 m²||3/4|4||Brak||Tak||||Wtórny|Własność|||18.04.2024|17.04.2024|morizon-GB06057|44|0|1||Nie||2013|Bardzo dobry|C.o. miejskie||||||||
Eleganckie mieszkanie na wynajem - Oliwa|3 200 zł|Gdańsk, |Oliwa, | • 2 pokoje||39 m²||5/7|7||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|21.02.2024|15.04.2024|morizon-DH967191|252|0|||||2021||Co Miejskie|22.02.2024|||||||
Dwupiętrowe mieszkanie z tarasem- aż 5 pokoi|5 600 zł|Gdańsk, |Wrzeszcz, | • 5 pokoi||119 m²||3/4|4|4|||||||Wtórny||Na wyłączność|Blok Mieszkalny|22.02.2024|15.04.2024|morizon-DH271094|346|0|||Tak||||Co Miejskie|01.03.2024||2|||||
2 pokojowe 950m od PLAŻY|2 200 zł|Gdańsk, |Przymorze, | • 2 pokoje||32,03 m²||4/4|4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|28.02.2024|19.04.2024|morizon-TY758607|467|0|||||1962||Co Miejskie||||||||
Przestronne mieszkanie na wynajeml|2 300 zł|Gdańsk, |Przymorze, | • 2 pokoje||46 m²||1/10|10||||Tak||||Wtórny||Na wyłączność|Falowiec|26.03.2024|26.03.2024|morizon-788616|215|0|||||||Co Miejskie||||||||
Piękne dwa pokoje od zaraz|2 500 zł|Gdańsk, |Łostowice, | • 2 pokoje||42 m²||2/3|3||||||||Wtórny||Na wyłączność|Blok Mieszkalny|04.04.2024|20.04.2024|morizon-TY264331|164|0|||||2023||Co Miejskie||||||||
Komfortowe 2 pokoje z ogrodem|3 100 zł|Gdańsk, |Aniołki, | • 2 pokoje||48 m²|||7|1|||||||Wtórny||Na wyłączność||10.04.2024|12.04.2024|morizon-HEX791700|114|0|||||2022||||||||||
2-pokojowe mieszkanie na Jasieniu|3 300 zł|Gdańsk, |Jasień, | • 2 pokoje||50 m²||2/3|3||Brak||Tak||||Wtórny|(Nieznany)|||19.04.2024|19.04.2024|morizon-ZA016506|31|0|1||Nie||||C.o. miejskie||||||||
Przestronne Mieszkanie z Balkonem Przymorze|4 200 zł|Gdańsk, |Przymorze, | • 3 pokoje||60 m²||14/15|15||||||||Wtórny||Na wyłączność||29.03.2024|03.04.2024|morizon-715927720|143|0|||||||||||||||
Kawalerka na Ujeścisku|1 990 zł|Gdańsk, |Ujeścisko, | • 1 pokój||34,81 m²|||2||||Nie||||Wtórny||Na wyłączność|Apartamentowiec|18.03.2024|22.04.2024|morizon-DH968111|303|0|||||2015||Co Miejskie|19.03.2024|||||||
Do wynajęcia 2 pokojowa kawalerka z balkonem|2 100 zł|Gdańsk, |Zaspa, | • 2 pokoje||27 m²||10/10|10||||Tak||||Wtórny||Na wyłączność||12.04.2024|19.04.2024|morizon-Aa116966|88|0||||||||15.04.2024|||||||
2 pokoje, hala, komórka, długoterminowo|2 300 zł|Gdańsk, |Jasień, | • 2 pokoje||41 m²||2/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|19.02.2024|22.04.2024|morizon-WH370269|414|0|||||2020||Co Miejskie||Pustak|1|||||
Słoneczna Morena 2 pokoje + miejsce w hali|2 500 zł|Gdańsk, |Morena, | • 2 pokoje|WYSOKI STANDARD|42,09 m²||6/7|7||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność||22.02.2024|08.04.2024|morizon-44/4070/OMW|281|0|||||2016||C.O. Z SIECI MIEJSKIEJ||||||||
Wynajmę mieszkanie 50 m2, Gdańsķ wrzeszcz ul. Sobótki|2 700 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||50 m²||1/3|3|||Tak|Tak||||Wtórny|||Kamienica|28.03.2024|28.03.2024|morizon-gratka-34042751|242|0|||||||||||||||
Wyposażony apartament w Central Parku! Morena|3 000 zł|Gdańsk, |Morena, | • 2 pokoje||40,05 m²||13/17|17||||Tak||||Wtórny||Na wyłączność|Wieżowiec|19.03.2024|17.04.2024|morizon-BU648336|188|0|||||2022||Co Miejskie||||||||
2 pokoje 44,70m2 w pełni wyposażone, Kamienica|3 200 zł|Gdańsk, |Śródmieście, | • 2 pokoje||44,70 m²||1/3|3|1|||||||Wtórny||Na wyłączność||19.04.2024|22.04.2024|morizon-239705|33|0|||||1908|||||1|||||
2 pokoje na Garnizonie! Wysoki standard|3 800 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||47,54 m²||4/5|5|1|||Tak||||Wtórny|||Apartamentowiec|07.03.2024|17.04.2024|morizon-PH177540|203|0|||||2014||Co Miejskie||||||||
Nowe 2 pokojowe mieszkanie z balkonem i parkingiem|2 200 zł|Gdańsk, |Orunia Górna, | • 2 pokoje|BARDZO WYSOKI STANDARD|36,35 m²||3/3|3||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|APARTAMENTOWIEC|11.03.2024|13.03.2024|morizon-48745/2089/OMW|231|0|1||||2023||C.O. Z SIECI MIEJSKIEJ||||||||
wygodna kawalerka po remoncie|2 500 zł|Gdańsk, |Zaspa, | • 1 pokój||31 m²||3/10|10||||Nie||||Wtórny|||Blok Mieszkalny|20.03.2024|21.04.2024|morizon-PAN102231|235|0|||||1979||Co Miejskie|30.03.2024|Wielka płyta||||||
Komfortowa kawalerka 5 minut od Dworca PKP|2 500 zł|Gdańsk, |Śródmieście, | • 1 pokój||30,96 m²||5/5|5|1|||||||Wtórny|||Apartamentowiec|20.03.2024|20.04.2024|morizon-TC409346|406|0|||||2019||Co Miejskie||Konstrukcja żelbetowa|1|||||
Kawalerka Gdańsk Oliwa|2 600 zł|Gdańsk, |Oliwa, | • 1 pokój||31,62 m²||1/2|2||||||||Wtórny||Na wyłączność|Dom Wielorodzinny|13.02.2024|18.04.2024|morizon-DH488062|299|0|||||||Co Własne|15.03.2024|||||||
"Słoneczne mieszkanie z balkonem | miejsce w hali"|2 800 zł|Gdańsk, |Jacka Malczewskiego| • 2 pokoje||45 m²||2/4|4|1|||Tak||||Wtórny|||Blok Mieszkalny|01.03.2024|11.04.2024|morizon-FPO587114|392|0|||||2013||Co Miejskie|18.03.2024|||||||
Gdańsk Oliwa 3 pokoje wynajem|3 300 zł|Gdańsk, |Oliwa, | • 3 pokoje||59,28 m²||2/2|2|2|||Tak||||Wtórny||Na wyłączność|Dom Wielorodzinny|13.02.2024|22.04.2024|morizon-DH216818|424|0|||||||Co Własne|15.03.2024|||||||
Wysoki standard, najwyższe piętro, 2 pokoje, Scala|3 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||42 m²||5/5|5||||Tak||||Wtórny|||Apartamentowiec|18.03.2024|12.04.2024|morizon-PAN864836|238|0|||||||Co Miejskie||Cegła||||||
Popiełuszki 24c, 3 pokoje z miejscem w garażu|4 880 zł|Gdańsk, |Śródmieście, | • 3 pokoje||67 m²||7/8|8||||||||Wtórny||||19.04.2024|22.04.2024|morizon-29051/4034/OMW|40|0||||||||20.02.2024|||||||
Wyjątkowy Apartament na Głównym Mieście w Gdańsku|4 900 zł|Gdańsk, |Śródmieście, | • 3 pokoje||61 m²||3/3|3||||Nie||||Wtórny|||Historyczny/zabytkowy|28.02.2024|18.04.2024|morizon-ON641374|174|0|||||1947||Co Miejskie|20.02.2024|||||||
2 pokojowe mieszkanie dla pracowników na Przymorzu|1 800 zł|Gdańsk, |Przymorze, | • 2 pokoje||65 m²||1/2|2||Półotwarta||Nie||||Wtórny|Własność|||18.04.2024|18.04.2024|morizon-WV032545|81|0|1||Nie|||Bardzo dobry|C.o. miejskie||||||||
"Apartament Kamienice Neptuna 26 m2 typu \""STUDIO\"" z"|1 900 zł|Gdański, |Gdańsk, | • 1 pokój||26 m²||1/4|4||Brak||Tak||||Wtórny|(Nieznany)|Na wyłączność||15.04.2024|15.04.2024|morizon-JJ091643|162|0|1||Nie||2013|Wysoki standard|C.o. miejskie||||||||
Serce Gdańska! Dostępne od ZARAZ|2 700 zł|Gdańsk, |Śródmieście, | • 1 pokój||30 m²|||4|1|||Nie||||Wtórny|||Kamienica|24.03.2024|29.03.2024|morizon-PAN456441|193|0|||Nie||1900||Co Miejskie|24.03.2024|Cegła||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 745 zł|Gdańsk, |Mariana Kołodzieja| • 2 pokoje||49,18 m²|270 cm|3/3|3||ANEKS KUCHENNY||Tak||||Wtórny|||NISKI BLOK|12.02.2024|18.04.2024|morizon-59/14488/OMW|228|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Gotowe do wprowadzenia Gdańsk Łostowice|2 800 zł|Gdańsk, |Łostowice, | • 3 pokoje||61 m²||2/2|2|1|||Tak||||Wtórny|||Blok Mieszkalny|01.03.2024|29.03.2024|morizon-289092|419|0|||Tak||||Co Miejskie|28.03.2024|Pustak||||||
"Zostań pierwszym najemcą | nowe 2 pokoje Jasień"|2 800 zł|Gdańsk, |Jasień, | • 2 pokoje||43 m²||5/6|6|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|06.02.2024|02.04.2024|morizon-WH530737|245|0|||||2023||Co Miejskie|06.02.2024|Konstrukcja mieszana|||||42,78 m²|
Apartament 2 pokojowy Gdańsk Oliwa|3 000 zł|Gdańsk, |Oliwa, | • 2 pokoje||44,92 m²||1/2|2|1|||Tak||||Wtórny||Na wyłączność|Dom Wielorodzinny|13.02.2024|12.04.2024|morizon-DH637740|274|0|||||||Co Własne|04.04.2024||1|||||
Dom na wynajem w pięknej okolicy - Oliwa|3 500 zł|Gdańsk, |Oliwa, | • 2 pokoje|WYSOKI STANDARD|60 m²|||||ODDZIELNA||||||Wtórny|WŁASNOŚĆ|Na wyłączność||07.02.2024|10.04.2024|morizon-48554/2089/OMW|230|0|1||||||C.O. GAZOWE|07.02.2024|||||||
Bez prowizji! Mieszkanie 2 pokoje, Gdańsk-Wrzeszcz|3 823 zł|Gdańsk, |Jana Kilińskiego| • 2 pokoje||48,76 m²||3/5|5||ODDZIELNA||Tak||||Wtórny|||APARTAMENTOWIEC|12.02.2024|18.04.2024|morizon-62/14488/OMW|204|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Nowe 3-pok. mieszkanie, dwa miejsca parkingowe|4 600 zł|Gdańsk, |Letnica, | • 3 pokoje|BARDZO WYSOKI STANDARD|73,97 m²|280 cm|3/7|7||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|06.02.2024|22.04.2024|morizon-48495/2089/OMW|260|0|2||||2022||C.O. Z SIECI MIEJSKIEJ||BLOCZKI||||||
Wyjątkowy apartament w Centrum Gdańska- 110m2|7 800 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|110 m²|||||||Tak||7800|1000|Wtórny|||Apartamentowiec|09.04.2024|09.04.2024|morizon-BHN-MW-4165-2|111|0|||||||||||||||
Ciche mieszkanie blisko Śródmieścia|2 400 zł|Gdańsk, |Długa Grobla| • 2 pokoje||41 m²||3/5|5||||||||Wtórny||Na wyłączność||16.02.2024|20.03.2024|morizon-105855|319|0|||||||||||||||
Nowe Wykończone mieszkanie niedaleko fashion house|2 600 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|32 m²||4/4|4|||||PCV|5000|360|Pierwotny|Jeden właściciel||Blok|29.03.2024|29.03.2024|morizon-QRC-MW-7245|96|0|||||2023||C.O. miejskie||||||||
2 pokoje z parkingiem i ogródkiem|2 700 zł|Gdańsk, |Orunia Górna, | • 2 pokoje|WYSOKI STANDARD|39,28 m²|||3||||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|28.02.2024|08.04.2024|morizon-48684/2089/OMW|243|0|||||2019||C.O. Z SIECI MIEJSKIEJ|30.04.2024|||||||
Opis nieruchomości|2 800 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Bardzo dobry|41 m²|255 cm|3/3|3|1|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV|3000|500|Wtórny|Jeden właściciel|Na wyłączność|Blok|14.03.2024|27.03.2024|morizon-WST-MW-600-2|138|0|||||||||||||||
Przytulne mieszkanie - Gdańsk Przymorze|3 000 zł|Gdańsk, |Przymorze, | • 2 pokoje||51 m²||1/1|1||||||||Wtórny|||Wolnostojący|27.02.2024|28.02.2024|morizon-DH291246|218|0|||||||Co Miejskie|27.02.2024|||||||
"REZERWACJA | 2 pokoje | Wynajem | Śródmieście"|3 300 zł|Gdańsk, |Śródmieście| • 2 pokoje|WYSOKI STANDARD|46,36 m²||5/5|5||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||APARTAMENTOWIEC|27.03.2024|18.04.2024|morizon-BON45277|80|0|||||2021||C.O. Z SIECI MIEJSKIEJ||||||||
Mieszkanie 3 pok. dla studentów|3 300 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||59,46 m²||2/4|4|3|||Nie||||Wtórny|||Blok Mieszkalny|08.03.2024|22.04.2024|morizon-DH261015|310|0|||||1970||Co Miejskie||||||||
Mieszkanie 2 poka wynajem Gdańsk Aniołki ul. Focha|3 500 zł|Gdańsk, |Aniołki, | • 2 pokoje||50,90 m²||2/4|4||||Tak||||Wtórny|||Blok Mieszkalny|05.04.2024|05.04.2024|morizon-DJ360406|76|0|||||||Co Miejskie|||1|||||
2-pokojowe mieszkanie Gdańsk / Ujeścisko|5 000 zł|Gdańsk, |Ujeścisko, | • 2 pokoje||43,43 m²|||||Brak||Nie||||Wtórny|(Nieznany)|||17.04.2024|16.04.2024|morizon-ZA016503|44|0|1||Nie||||C.o. miejskie||||||||
Mieszkanie na wynajem/STOGI|2 000 zł|Gdańsk, |Stogi, | • 2 pokoje|Dobry|37 m²||4/4|4||Osobna|Tak|||||Wtórny|||Blok|09.04.2024|16.04.2024|morizon-gratka-34224491|180|0||||||||15.04.2024|Wielka płyta||||||
Przytulne mieszkanie z balkonem na Zaspie|2 300 zł|Gdańsk|| • 2 pokoje||54 m²||5/10|10||||Tak||||Wtórny|||Blok Mieszkalny|23.01.2024|04.04.2024|morizon-TY900595|268|0|||||1989||Co Miejskie||||||||
Komfortowy, luksusowy apartament od zaraz|2 500 zł|Gdańsk, |Łostowice, | • 2 pokoje||35 m²|||4|1|||||||Wtórny||||13.02.2024|14.03.2024|morizon-OF502342760|227|0|||||2022|||||1|||||
