|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
1562|PENTHOUSE W CENTRUM GDAŃSKA|2416975.0|Gdańsk|Śródmieście|Gdańsk, | 4|Wysoki standard|96.51||05-May|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|19.04.2024|19.04.2024|morizon-BHN-MS-4172-5|18|0||||||||||||||||Sprzedaży|||||
1563|Kawalerka inwestycyjna w sercu Gdańska|320926.0|Gdańsk|Przeróbka|Przeróbka, | 1 pokój||25.8||02-Apr|||||Tak||||Pierwotny|||Apartamentowiec|17.04.2024|22.04.2024|morizon-354806|45|0|||||2024.0||Co Miejskie|31.12.2024|Pustak|||||||Sprzedaży|||||
1564|Opis nieruchomości|425500.0|Gdańsk|Jasień|Jasień, | 2||33.24||01-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|17.04.2024|18.04.2024|morizon-PH886362|39|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1565|Opis nieruchomości|437000.0|Gdańsk|Jasień|Jasień, | 2||33.24||03-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|17.04.2024|18.04.2024|morizon-PH820560|30|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1566|Mieszkanie 2 pokoje blisko morza, Gdańsk Stogi|439000.0|Gdańsk|Krakowiec-Górki Zachodnie|Stogi, | 2||42.2||04-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|26.03.2024|17.04.2024|morizon-TY226986|221|0|||||1969.0||Co Miejskie|||||||||Sprzedaży|||||
1567|Opis nieruchomości|441000.0|Gdańsk|Jasień|Jasień, | 2||33.1||04-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH876204|33|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1568|Przytulne 2 pokoje na jasieniu 39,2m2|550000.0|Gdańsk|Jasień|Jasień, | 2||39.2||02-Apr|||||||||Wtórny|||Blok Mieszkalny|04.04.2024|19.04.2024|morizon-AG460498|60|0|||||2018.0||Co Miejskie|||||||||Sprzedaży|||||
1569|Niepołomicka-Wasze miejsce na ziemi|570000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||41.08||01-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|28.03.2024|17.04.2024|morizon-CP1988234|101|0|||||2022.0||Co Miejskie|||||||||Sprzedaży|||||
1570|Opis nieruchomości|576500.0|Gdańsk|Jasień|Jasień, | 3||57.65||03-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH516909|35|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1571|Opis nieruchomości|581500.0|Gdańsk|Jasień|Jasień, | 3||57.65||04-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH366543|29|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1572|Klimatyczne mieszkanko przy samej Starówce|590000.0|Gdańsk|Śródmieście|Stare Miasto, | 1 pokój||35.0||03-Mar||1.0|||Nie||||Wtórny||Na wyłączność|Kamienica|18.04.2024|18.04.2024|morizon-357574|30|0|||Nie||1956.0||Gazowe||Cegła|||||||Sprzedaży|||||
1573|Gotowa Inwestycja, Kompaktowe Mieszkanie, Promocja|591000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice| 3||56.66||04-Apr||2.0|||Tak||||Pierwotny|||Blok Mieszkalny|21.03.2024|21.03.2024|morizon-825557|56|0|||||2022.0||Co Miejskie|||||||||Sprzedaży|||||
1574|2-pokojowe mieszkanie na Gdańskim Bulwarze|599000.0|Gdańsk|Jasień|Jasień, | 2||42.74||01-Mar|||||Tak||||Wtórny|||Blok Mieszkalny|29.03.2024|29.03.2024|morizon-R-235307|105|0|||||2020.0|||29.03.2024||1.0||||||Sprzedaży|||||
1575|Trzypokojowe mieszkanie w rewelacyjnej lokalizacji|669000.0|Gdańsk|Chełm|Chełm, | 3||53.5||01-Apr|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|11.03.2024|14.03.2024|morizon-919392|161|0|||||2007.0||Co Miejskie|||||||||Sprzedaży|||||
1576|Opis nieruchomości|670500.0|Gdańsk|Jasień|Jasień, | 3||60.86||04-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH224423|26|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1577|Opis nieruchomości|671500.0|Gdańsk|Jasień|Jasień, | 4||68.07||02-Apr|||||Tak||||Pierwotny|||Blok Mieszkalny|18.04.2024|18.04.2024|morizon-PH255719|27|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1578|Opis nieruchomości|671500.0|Gdańsk|Jasień|Jasień, | 4||68.07||02-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH205214|34|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1579|Dwupoziomowe mieszkanie blisko C.H. Forum|685000.0|Gdańsk|Siedlce|Siedlce, | 4||51.0||05-May|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|19.04.2024|19.04.2024|morizon-MG148127|19|0|||||1977.0||Co Miejskie|||2.0||||||Sprzedaży|||||
1580|Zaciszne, przytulne mieszkanie 3 pokojwe - CHEŁM|685000.0|Gdańsk|Chełm|Chełm, | 3||55.6||02-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|11.04.2024|18.04.2024|morizon-AG854398|73|0|||||1982.0||Co Miejskie||Wielka płyta|||||||Sprzedaży|||||
1581|Opis nieruchomości|699000.0|Gdańsk|Jasień|Jasień, | 3||60.76||01-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH977829|22|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1582|Opis nieruchomości|699000.0|Gdańsk|Jasień|Jasień, | 3||60.45||01-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|16.04.2024|18.04.2024|morizon-PH979216|22|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1583|4 pokoje, do własnej aranżacji na Przymorzu|715000.0|Gdańsk|Przymorze|Przymorze, | 4||62.2||15|18||||Tak||||Wtórny||Na wyłączność|Wieżowiec|03.04.2024|19.04.2024|morizon-CP1390753|106|0|||||||Co Miejskie|30.04.2024|Wielka płyta|||||||Sprzedaży|||||
1584|Mieszkanie - Gdańsk Morena|749000.0|Gdańsk|Piecki-Migowo|Morena| 2||61.08||03-Mar|||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||12.04.2024|11.04.2024|morizon-ZA016496|94|0|2.0||Nie||2008.0|Dobry|C.o. miejskie|||2.0||||||Sprzedaży|||||
1585|4 pokoje + duże poddasze, 2 miejsca parkingowe|750000.0|Gdańsk|Kokoszki|Goplańska| 4|DO WYKOŃCZENIA|82.41||01-Jan|||ANEKS KUCHENNY||||||Pierwotny||||15.04.2024|17.04.2024|morizon-29115/3685/OMS|27|0|||||2025.0||C.O. GAZOWE|11.03.2024||||||||Sprzedaży|||||
1586|Gdańsk Wrzeszcz 3 pokoje|757000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3|DOBRY|60.4|250 cm|07-Oct|||ANEKS KUCHENNY||Tak||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|09.04.2024|09.04.2024|morizon-29696/3685/OMS|107|0|1.0||||1987.0||C.O. Z SIECI MIEJSKIEJ|01.12.2023|PUSTAK|||||||Sprzedaży|||||
1587|2 pokoje nad morzem Letnica|759000.0|Gdańsk|Letnica|Letnica, | 2||40.04||06-Jul|||||||||Wtórny||||12.04.2024|17.04.2024|morizon-157705|50|0|||||2019.0||Co Miejskie|||||||||Sprzedaży|||||
1588|4-pokojowe mieszkanie z pięknym widokiem|760000.0|Gdańsk|Przymorze|Przymorze, | 4|Do odnowienia|68.8||16|17||Kuchnia zamykana z oknem||Tak||||Wtórny|Spółdzielcza własnościowa bez KW|Na wyłączność|Blok mieszkalny|05.04.2024|21.04.2024|morizon-ZIGE443|103|0|||||1980.0||Ogrzewanie miejskie||Wielka płyta|||||||Sprzedaży|||||
1589|2 pokoje po remoncie / Gdańsk Śródmieście|789000.0|Gdańsk|Śródmieście|Śródmieście, | 2||53.27||02-Feb|||||||||Wtórny||Na wyłączność||06.04.2024|15.04.2024|morizon-805955|49|0|||||1910.0|||||||||||Sprzedaży|||||
1590|Wyjątkowe mieszkanie na osiedlu Cztery Oceany|799000.0|Gdańsk|Przymorze|Przymorze, | 2||40.0||Apr-17|||||Tak||||Wtórny|||Blok Mieszkalny|27.03.2024|27.03.2024|morizon-790949|123|0|||||||Co Miejskie|||||||||Sprzedaży|||||
1591|Mieszkanie - Gdańsk Wrzeszcz|895000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3||67.93||03-Mar|||Osobna||Tak||||Wtórny|Własność|Na wyłączność||12.04.2024|11.04.2024|morizon-ZA016494|91|0|1.0||Nie||1956.0|Po remoncie|Gazowe|||||||||Sprzedaży|||||
1592|"Gotowe 2 pokoje obok Copernicus| GUMed | PG"|899000.0|Gdańsk|Śródmieście|Śródmieście, | 2||47.39||02-Jul||1.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|10.04.2024|10.04.2024|morizon-TC110277|48|0|||||2022.0||Co Miejskie|05.09.2023|Konstrukcja mieszana|||||||Sprzedaży|||||
1593|"Stylowy apartament w sercu Gdańska | Nadmotławie"|949000.0|Gdańsk|Śródmieście|Śródmieście, | 2||47.19||01-May|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|29.03.2024|18.04.2024|morizon-ON369412|77|0|||||2019.0||Co Miejskie|||||||||Sprzedaży|||||
1594|Apartament Najwyższy Standard, Oliwa|1246157.0|Gdańsk|Oliwa|Oliwa, | 2||51.93||01-Mar||1.0|||Tak||||Pierwotny|||Apartamentowiec|20.03.2024|20.03.2024|morizon-735668|42|0|||||2023.0||Co Miejskie|||||||||Sprzedaży|||||
1595|Apartament Najwyższy Standard, Oliwa|1283077.0|Gdańsk|Oliwa|Oliwa, | 2||50.07||01-Apr||1.0|||||||Pierwotny|||Apartamentowiec|20.03.2024|20.03.2024|morizon-409457|45|0|||||2023.0||Co Miejskie|||||||||Sprzedaży|||||
1596|"Powiew luksusu nad morzem | Letnica"|1599000.0|Gdańsk|Letnica|Letnica, | 4||100.8||Jun-17||3.0|||Tak||||Wtórny||Na wyłączność|Wieżowiec|29.03.2024|18.04.2024|morizon-ON755366|61|0|||Nie||2021.0||Co Miejskie||Konstrukcja mieszana|1.0||||97,92 m²||Sprzedaży|||||
1597|Apartament w inwestycji z basenem|2290000.0|Gdańsk|Śródmieście|Śródmieście, | 3||103.15||02-May||2.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|19.03.2024|19.03.2024|morizon-DH973006|101|0|||||2012.0||Co Miejskie|||||||||Sprzedaży|||||
1598|Jelitkowo z widokiem na Park Reagana|2910000.0|Gdańsk|Jelitkowo|Jelitkowo, | 3||75.5||02-Mar|||||Tak||||Wtórny|||Apartamentowiec|05.04.2024|15.04.2024|morizon-WH377812|294|0|||||2010.0||Co Własne||Cegła|1.0||||78,80 m²||Sprzedaży|||||
1599|Widok na rzekę, VAT 23%, cena brutto|407000.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||26.0||02-Apr|||||Tak||||Wtórny|||Apartamentowiec|25.03.2024|25.03.2024|morizon-HEX993936|111|0|||Tak||2024.0||Co Miejskie|||||||||Sprzedaży|||||
1600|Widok na rzekę, VAT 23%, cena brutto|431000.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||26.0||01-Apr|||||Tak||||Wtórny|||Apartamentowiec|24.03.2024|25.03.2024|morizon-HEX600171|90|0|||Tak||2024.0||Co Miejskie|||||||||Sprzedaży|||||
1601|PRZY GARNIZONIE, KAWALERKA, IDEALNA LOKALIZACJA|445000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 1 pokój||28.0||03-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|12.03.2024|05.04.2024|morizon-TY210249|315|0|||||1970.0||Co Miejskie|||||||||Sprzedaży|||||
1602|Widok na rzekę, VAT 23%, cena brutto|495000.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||30.45||01-Apr|||||Tak||||Wtórny|||Apartamentowiec|24.03.2024|25.03.2024|morizon-HEX949358|81|0|||Tak||2024.0||Co Miejskie|||||||||Sprzedaży|||||
1603|Nowe mieszkanie w Letnicy|500000.0|Gdańsk|Letnica|Letnica, | 1 pokój||31.21||04-May|||||Tak||||Pierwotny|||Blok Mieszkalny|03.04.2024|17.04.2024|morizon-PAN876303|41|0|||Nie||2023.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1604|Klimatyczne wnętrze-serce Gdańska- blisko Motławy|525000.0|Gdańsk|Śródmieście|Śródmieście, | 3||35.0||01-Apr||2.0|||||||Wtórny||Na wyłączność|Kamienica|03.04.2024|22.04.2024|morizon-CP652227|105|0|||||1936.0||Elektryczne|||||||||Sprzedaży|||||
1605|Nowiutki apartament z loggią – dwa pokoje|529000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2|BARDZO WYSOKI STANDARD|40.83||02-May|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|07.04.2024|07.04.2024|morizon-29661/3685/OMS|98|0|1.0||||2023.0||C.O. Z SIECI MIEJSKIEJ|07.04.2024|PUSTAK|||||||Sprzedaży|||||
1606|Widok na rzekę, VAT 23%, cena brutto|542000.0|Gdańsk|Śródmieście|Śródmieście, | 2||34.0||01-Apr|||||Tak||||Wtórny|||Apartamentowiec|24.03.2024|25.03.2024|morizon-HEX818712|104|0|||Tak||2024.0||Co Miejskie|||||||||Sprzedaży|||||
1607|2 pokojowe mieszkanie na Jasieniu 43m2|570000.0|Gdańsk|Jasień|Jasień, | 2||43.03||02-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|04.04.2024|22.04.2024|morizon-AG103081|43|0|||||||Co Miejskie||Pustak|||||||Sprzedaży|||||
1608|"Przestronne 2 pok. blisko natury | Budynek z 2006r"|595000.0|Gdańsk|Zakoniczyn|Zakoniczyn, | 2||51.92||03-Mar||1.0|||Tak||||Wtórny||Na wyłączność||20.04.2024|20.04.2024|morizon-RANDALL636598|34|0|||||2006.0|||01.04.2024||||||||Sprzedaży|||||
1609|Nowoczesne 2 pokoje blisko komunikacji Jasień|650000.0|Gdańsk|Jasień|Jasień, | 2||50.34||02-Apr||1.0|||Tak||||Wtórny||Na wyłączność||06.04.2024|06.04.2024|morizon-HEX888072|138|0|||||2020.0|||||||||||Sprzedaży|||||
1610|Przestronne Mieszkanie z Ogródkiem przy Stężyckiej|690000.0|Gdańsk|Jasień|Jasień, | 3||69.0||01-Apr||2.0|||||||Wtórny||||05.04.2024|05.04.2024|morizon-EC111111204161|72|0|||||2011.0|||||||||||Sprzedaży|||||
1611|Słoneczne 3 pokoje, gotowe i w pełni wyposażone|698000.0|Gdańsk|Orunia|Orunia Górna, | 3||57.3||04-Apr||2.0|||Tak||||Wtórny||||20.04.2024|20.04.2024|morizon-849732|21|0|||||2020.0|||||||||||Sprzedaży|||||
1612|Trzypokojowe mieszkanie na Dolnym Mieście|699000.0|Gdańsk|Śródmieście|Dolne Miasto, | 3||50.0||02-Mar|||||||||Wtórny|||Kamienica|15.04.2024|15.04.2024|morizon-WH977346|54|0|||||1930.0||Elektryczne||Cegła|1.0||||||Sprzedaży|||||
1613|"WYSOKI STANDARD WYKOŃCZENIA| FUNKCJONALNE WNĘTRZE|"|710000.0|Gdańsk|Siedlce|Siedlce, | 2||59.55||01-Mar||1.0|||||||Wtórny||Na wyłączność|Kamienica|27.03.2024|19.04.2024|morizon-TY944824|85|0|||||1939.0||Gazowe|30.06.2024||||||||Sprzedaży|||||
1614|"Mieszkanie 3-pok | Rozkładowe | Weranda | Ogródek"|759000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3|DO REMONTU|59.5||01-Feb|||ODDZIELNA||||||Wtórny|WŁASNOŚĆ||KAMIENICA|30.03.2024|02.04.2024|morizon-25415/7649/OMS|169|0|||||1950.0||C.O. GAZOWE|30.03.2024|CEGŁA|||||||Sprzedaży|||||
1615|"Słoneczne 3 pokoje z dużym ogródkiem | JASIEŃ"|765000.0|Gdańsk|Jasień|Jasień, | 3||59.41||01-Apr||2.0|||Nie||||Wtórny|||Blok Mieszkalny|26.03.2024|18.04.2024|morizon-ON583946|127|0|||||2015.0||Co Miejskie||Pustak|1.0||||||Sprzedaży|||||
1616|2 pokoje w sercu Wrzeszcza|782000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|Wysoki standard|60.0|280 cm|02-Mar|||Kuchnia otwarta z oknem||||||Wtórny|Własność||Blok mieszkalny|11.04.2024|21.04.2024|morizon-BOFY803|77|0|||||1962.0||Ogrzewanie miejskie||Mieszana|||||||Sprzedaży|||||
1617|3 pokoje/ Brzeźno/ 150m do plaży|799000.0|Gdańsk|Brzeźno|Brzeźno, | 3||52.0||03-Apr|||||||||Wtórny||||23.03.2024|18.04.2024|morizon-183135|279|0|||||1975.0|||30.04.2024||1.0||||||Sprzedaży|||||
1618|Ustawne 4 pokoje do remontu Gdańsk Żabianka|827000.0|Gdańsk|Żabianka|Żabianka, | 4||68.3||07-Oct||4.0|||||||Wtórny|||Wieżowiec|27.03.2024|17.04.2024|morizon-TC422957|317|0|||||1975.0||Co Miejskie||Wielka płyta|1.0||||||Sprzedaży|||||
1619|Pięciopokojowe mieszkanie przy ul. Kielasa|830000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 5||100.0||03-Mar|||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||15.04.2024|15.04.2024|morizon-BH06930|43|0|2.0||Nie||2007.0|Bardzo dobry|C.o. miejskie||Gazobeton|2.0||||||Sprzedaży|||||
1620|Opis nieruchomości|837421.0|Gdańsk|Oliwa|Oliwa, | 2||40.81||01-Mar|||||Tak||||Wtórny|||Apartamentowiec|08.04.2024|08.04.2024|morizon-PH973589|28|0|||||2024.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1621|Komfortowe 4 pokoje w ładnym otoczeniu|849000.0|Gdańsk|Matarnia|Matarnia, | 4||79.3||01-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|29.03.2024|12.04.2024|morizon-144257|97|0|||Tak||1998.0||Co Własne||Pustak|||||||Sprzedaży|||||
1622|Wyjątkowy apartament blisko morza|892749.0|Gdańsk|Przymorze|Przymorze, | 2||45.47||05-Dec|||||Tak||||Wtórny|||Apartamentowiec|01.04.2024|09.04.2024|morizon-369007|106|0|||||||Co Miejskie|||||||||Sprzedaży|||||
1623|Kameralne mieszkanie z ogrodem 5 minut do Centrum|920000.0|Gdańsk|Siedlce|Siedlce, | 2||53.28||01-Apr||1.0|||Nie||||Wtórny|||Apartamentowiec|27.03.2024|18.04.2024|morizon-PAN410430|104|0|||Tak||2014.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
1624|Eleganckie Mieszkanie z Panoramicznym Widokiem|938000.0|Gdańsk|Jasień|Jasień, | 3||64.0||04-Apr||2.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|12.03.2024|02.04.2024|morizon-HEX668771|88|0|||||2018.0||Co Miejskie|18.01.2024||||||||Sprzedaży|||||
1625|Trzypokojowe w Central Parku|940000.0|Gdańsk|Piecki-Migowo|Piecki-Migowo, | 3||51.28||15|17|2.0|||Tak||||Wtórny||Na wyłączność|Wieżowiec|16.04.2024|16.04.2024|morizon-221793|37|0|||||2022.0||Co Miejskie||Konstrukcja żelbetowa|1.0||||||Sprzedaży|||||
1626|Dwupoziomowe mieszkanie w samym sercu Gdańska|998000.0|Gdańsk|Śródmieście|Śródmieście, | 2||72.3||03-Mar|||||Tak||||Wtórny|||Kamienica|06.04.2024|13.04.2024|morizon-BU886631|52|0|||||1960.0||Co Miejskie||Cegła|||||42,30 m²||Sprzedaży|||||
1627|Wysoki standard w przystępnej cenie|999000.0|Gdańsk|Letnica|Letnica, | 3||66.74||04-May||2.0|||Tak||||Wtórny|||Blok Mieszkalny|25.03.2024|19.04.2024|morizon-WE407253|98|0|||Tak||2019.0||Co Miejskie|||||||||Sprzedaży|||||
1628|D U Ż E - Klimatyzowe i 2 P O Z I O M O W E|1222000.0|Gdańsk|Piecki-Migowo|Morena Piecki-Migowo, | 4||131.0||05-May||3.0|||Tak||||Wtórny||Na wyłączność||05.04.2024|22.04.2024|morizon-427624|72|0|||Tak||2009.0|||||||||76,30 m²||Sprzedaży|||||
1629|Apartament - Porto - Plaża 1000m, Parking x2|1499000.0|Gdańsk|Brzeźno|Brzeźno, | 3||92.0||01-May|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|05.04.2024|19.04.2024|morizon-674235|56|0|||||2022.0||Co Miejskie|17.05.2023|Pustak|||||||Sprzedaży|||||
1630|Apartament Gdańsk Wrzeszcz Kołłątaja|2200000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3|WYSOKI STANDARD|119.7|250 cm|04-Apr|||Z OKNEM||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|28.03.2024|12.04.2024|morizon-29307/3685/OMS|74|0|2.0||||2011.0||C.O. Z SIECI MIEJSKIEJ|27.03.2024|MIESZANY|||||||Sprzedaży|||||
1631|DOKI, taras, taniej niż u dewelopera, gotowe|2695000.0|Gdańsk|Śródmieście|Śródmieście, | 5||117.5||05-Aug||4.0|||||||Wtórny|||Apartamentowiec|28.03.2024|28.03.2024|morizon-HEX501574|83|0|||Tak||2023.0||Co Miejskie|||||||||Sprzedaży|||||
1632|Luksusowy apartament 96m2 w centrum Gdańska|2773520.0|Gdańsk|Śródmieście|Śródmieście| 4||96.56||03-May||3.0|||Tak||||Wtórny||||03.04.2024|11.04.2024|morizon-OF270665|54|0|||||2021.0|||||||||||Sprzedaży|||||
1633|Apartament z najpiękniejszym widokiem w Gdańsku|3700000.0|Gdańsk|Śródmieście|Szafarnia| 4||109.4||04-May||3.0|||||||Wtórny||Na wyłączność|Apartamentowiec|15.04.2024|15.04.2024|morizon-WE946755|56|0|||||2010.0|||||||||||Sprzedaży|||||
1634|Gotowe 2 pokoje + ogródek + miejsce w hali|379900.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||36.0||01-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|11.04.2024|11.04.2024|morizon-HEX889967|102|0|||||||Co Miejskie||Pustak|||||||Sprzedaży|||||
1635|Super lokalizacja|463638.0|Gdańsk|Chełm|Czerska| 2||40.67||02-Apr|||||||||Pierwotny|||Blok Mieszkalny|21.04.2024|16.04.2024|morizon-ECN332839329|11|0|||||2024.0||Co Miejskie|||||||||Sprzedaży|||||
1636|2 pokoje z możliwością zrobienia 3|470000.0|Gdańsk|Nowy Port|Nowy Port, | 2||49.6||01-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|19.04.2024|19.04.2024|morizon-PAN620475|23|0|||Nie||1960.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
1637|Fitness/Lobby - 10 min do plaży - Słoneczne|535000.0|Gdańsk|Brzeźno|Brzeźno, | 1 pokój||31.1||01-Apr|||||||||Pierwotny||Na wyłączność|Apartamentowiec|06.04.2024|21.04.2024|morizon-152283|72|0|||||2023.0||Co Miejskie|22.12.2023|Pustak|||||||Sprzedaży|||||
1638|Dwupokojowe mieszkanie w centrum Gdańska|544000.0|Gdańsk|Śródmieście|Śródmieście, | 2|Normalny|37.1|250 cm|02-Apr|||Kuchnia otwarta z oknem||||||Wtórny|Własność|Na wyłączność|Blok mieszkalny|31.03.2024|22.04.2024|morizon-LOKU210|127|0|||||1962.0||Ogrzewanie miejskie||Mieszana|||||||Sprzedaży|||||
1639|Opis nieruchomości|590748.0|Gdańsk|Letnica|Letnica, | 2||51.82||01-Apr|||||||||Pierwotny|||Blok Mieszkalny|22.04.2024|22.04.2024|morizon-PH945106|1|0|||Tak||2024.0||Co Miejskie||YTong|||||||Sprzedaży|||||
1640|w stylu francuskim przy węźle Świętokrzyska|599000.0|Gdańsk|Orunia|Orunia Górna, | 2|WYSOKI STANDARD|42.6|260 cm|01-Apr|||ANEKS KUCHENNY||||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|06.03.2024|03.04.2024|morizon-22880/2089/OMS|186|0|1.0||||2016.0||C.O. Z SIECI MIEJSKIEJ|||||||||Sprzedaży|||||
1641|Opis nieruchomości|608885.0|Gdańsk|Letnica|Letnica, | 2||51.82||01-Aug|||||||||Pierwotny|||Blok Mieszkalny|22.04.2024|22.04.2024|morizon-PH931635|1|0|||Tak||2024.0||Co Miejskie||YTong|||||||Sprzedaży|||||
1642|Opis nieruchomości|608921.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 3||48.78||04-Apr|||||Tak||||Wtórny|||Blok Mieszkalny|21.03.2024|21.03.2024|morizon-PH823386|51|0|||||2024.0||Co Miejskie||YTong|||||||Sprzedaży|||||
1643|"5 minut do centrum | Od zaraz | Niski Czynsz"|619000.0|Gdańsk|Chełm|Chełm, | 3|DOBRY|62.0|260 cm|04-Apr|||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|16.04.2024|16.04.2024|morizon-9566/8976/OMS|39|0|1.0||||1995.0||C.O. Z SIECI MIEJSKIEJ||MIESZANY|||||||Sprzedaży|||||
1644|Dwupokojowe mieszkanie w Śródmieściu Gdańska|619000.0|Gdańsk|Śródmieście|Śródmieście, | 2|Do remontu|55.6||02-Apr||2.0|Zamknięta|Tak|Tak|Drewniane stare|||Wtórny|Spółdzielcze + kw||Blok|12.03.2024|10.04.2024|morizon-529|298|0|||||1990.0||Miejskie|||||||||Sprzedaży|||||
1645|Jasne, gotowe do wprowadzenia|628000.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 2||46.51||01-Apr||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|06.04.2024|06.04.2024|morizon-183767|129|0|||||2017.0||Gazowe|30.04.2024|Silikat|||||||Sprzedaży|||||
1646|2 pokoje/ Przymorze/ przy Parku Reagana|629000.0|Gdańsk|Przymorze|Przymorze, | 2||45.0||03-Apr||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|15.03.2024|15.03.2024|morizon-757228|148|0|||||1970.0||Co Miejskie||Wielka płyta|1.0||||||Sprzedaży|||||
1647|Opis nieruchomości|629154.0|Gdańsk|Letnica|Letnica, | 3||61.7||04-Aug|||||||||Pierwotny|||Blok Mieszkalny|22.04.2024|22.04.2024|morizon-PH617798|1|0|||Tak||2024.0||Co Miejskie||YTong|||||||Sprzedaży|||||
