|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
2918|Opis nieruchomości|575000.0|Gdańsk|Kokoszki|Kokoszki| 2||47.9||01-Apr||1.0|||||||Wtórny|||Blok Mieszkalny|02.02.2024|02.02.2024|morizon-219816|220|0|||Tak||2023.0||Co Miejskie|02.02.2024||||||||Sprzedaży|||||
2919|Atrakcyjne 2 pokojowe na Starówce Gdańsk|578000.0|Gdańsk|Śródmieście|Śródmieście, | 2|WYSOKI STANDARD|31.2||01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|||KAMIENICA|21.03.2024|18.04.2024|morizon-1941/13290/OMS|71|0|1.0||||1950.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
2920|Idealne dla rodziny|594024.0|Gdańsk|Chełm|Czerska| 3||56.04||03-Apr||2.0|||Tak||||Pierwotny|||Blok Mieszkalny|01.03.2024|17.03.2024|morizon-ECN670832246|69|0|||||2024.0||Co Miejskie|||||||||Sprzedaży|||||
2921|Odnowione, jsne, ciepłe, 2-pok. na Chełmie|599000.0|Gdańsk|Chełm|Chełm, | 2||49.5||03-Apr||1.0|||||||Wtórny|||Blok Mieszkalny|15.01.2024|09.04.2024|morizon-DH876547|157|0|||||1988.0||Co Miejskie|||||||||Sprzedaży|||||
2922|RAJSKA- CENTRUM MIASTA|629000.0|Gdańsk|Śródmieście|Śródmieście, | 2||44.63||04-Apr||1.0|||Nie||||Wtórny|||Kamienica|02.12.2023|28.03.2024|morizon-PAN244119|463|0|||Nie||1960.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
2923|Mieszkanie 4 Pokoje, Gdańsk Łostowice|640784.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 4||71.52||02-Apr||3.0|||Tak||||Pierwotny|||Blok Mieszkalny|30.11.2023|03.03.2024|morizon-195392|129|0|||||2023.0||Co Miejskie|||||||||Sprzedaży|||||
2924|Mieszkanie z 2 Balkonami, 4 Pokoje, Gdańsk Jasień|665500.0|Gdańsk|Jasień|Jasień| 4||68.07||01-Apr||3.0|||Tak||||Pierwotny|||Blok Mieszkalny|10.01.2024|18.04.2024|morizon-657130|62|0|||||2025.0||Co Miejskie|||||||||Sprzedaży|||||
2925|Mieszkanie z dużym ogrodem - Jasień ul. Turzycowa|667000.0|Gdańsk|Jasień|Jasień, | 3||54.0||01-Apr|||||||||Wtórny|Własność|Na wyłączność|Blok|30.11.2023|11.04.2024|morizon-8|349|0|||||2017.0|Bardzo dobry||||||||||Sprzedaży|||||
2926|Zamieszkaj w okolicy pięknego lasu|714756.0|Gdańsk|Piecki-Migowo|Piecki-Migowo, | 2||53.6||04-May||1.0|||||||Pierwotny||||20.03.2024|20.03.2024|morizon-EC962724370|78|0|||||2024.0|||30.06.2024||||||||Sprzedaży|||||
2927|Spółdzielcze własnościowe, przy tramwaju|725000.0|Gdańsk|Jasień|Jasień, | 5||78.0||04-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|04.02.2024|01.03.2024|morizon-HEX900639|301|0|||||1995.0||Co Miejskie|||||||||Sprzedaży|||||
